Dam_Seq_ID	Sire_Seq_ID	Seq_ID	SampleName.Fish_ID.	Treatment	Sire.1	Sire.2	Dam.1	Dam.2	AAFam
2290	D06_allLanes_P	D09_allLanes_P	C03_plate19	068R	L-2-18	YO65_2	4	OC52_1	S	S4
2310	D06_allLanes_P	B05_allLanes_P	C02_plate32	114N	L-1-18	YG88_2	47	OC52_1	S	S47
2325	D06_allLanes_P	B05_allLanes_P	C02_plate10	032M	L-1-18	YG88_2	47	OC52_1	S	S47
2345	D06_allLanes_P	D09_allLanes_P	C03_plate12	050B	L-2-18	YO65_2	4	OC52_1	S	S4
2350	D06_allLanes_P	D09_allLanes_P	C03_plate13	050H	L-2-18	YO65_2	4	OC52_1	S	S4
2435	D11_allLanes_P	E01_allLanes_P	C06_plate23	072O	M-2-18	YH28_2	28	YV88_1	K	K28
2440	D11_allLanes_P	E07_allLanes_P	C05_plate24	070X	M-1-18	OG51_2	29	YV88_1	K	K29
2460	D11_allLanes_P	E01_allLanes_P	B05_plate06	020G	M-1-18	YH28_2	28	YV88_1	K	K28
2465	D11_allLanes_P	E07_allLanes_P	C05_plate29	102B	M-1-18	OG51_2	29	YV88_1	K	K29
2475	D11_allLanes_P	G01_allLanes_P	B06_plate09	037A	M-2-15	YF30_2	26	YV88_1	K	K26
2490	D11_allLanes_P	E07_allLanes_P	C05_plate02	004K	M-1-18	OG51_2	29	YV88_1	K	K29
2505	D11_allLanes_P	E01_allLanes_P	C06_plate04	006S	M-2-18	YH28_2	28	YV88_1	K	K28
2515	D11_allLanes_P	E01_allLanes_P	C05_plate33	102Z	M-1-18	YH28_2	28	YV88_1	K	K28
2525	D11_allLanes_P	E01_allLanes_P	B04_plate20	063K	M-1-15	YH28_2	28	YV88_1	K	K28
2530	D11_allLanes_P	E01_allLanes_P	B05_plate31	102M	M-1-18	YH28_2	28	YV88_1	K	K28
2535	D11_allLanes_P	E01_allLanes_P	C06_plate29	104X	M-2-18	YH28_2	28	YV88_1	K	K28
2545	D11_allLanes_P	G09_allLanes_P	C06_plate20	064W	M-2-18	OF56_2	30	YV88_1	K	K30
2560	D11_allLanes_P	G01_allLanes_P	C04_plate03	003O	M-1-15	YF30_2	26	YV88_1	K	K26
2570	D11_allLanes_P	G09_allLanes_P	B05_plate16	052O	M-1-18	OF56_2	30	YV88_1	K	K30
2575	D11_allLanes_P	G01_allLanes_P	C04_plate27	085N	M-1-15	YF30_2	26	YV88_1	K	K26
2610	D11_allLanes_P	G01_allLanes_P	C05_plate06	020H	M-1-18	YF30_2	26	YV88_1	K	K26
