Dam_Seq_ID	Sire_Seq_ID	Seq_ID	SampleName.Fish_ID.	Treatment	Sire.1	Sire.2	Dam.1	Dam.2	AAFam
2164	D03_allLanes_P	E11_allLanes_P	A05_plate13	036V	M-1-18	YV93_2	23	YS24_1	J	J23
2174	D03_allLanes_P	G04_allLanes_P	A04_plate24	069T	M-1-15	YF88_2	25	YS24_1	J	J25
2179	D03_allLanes_P	B07_allLanes_P	B04_plate11	035I	M-1-15	OD53_2	24	YS24_1	J	J24
2189	D03_allLanes_P	E11_allLanes_P	A04_plate06	019D	M-1-15	YV93_2	23	YS24_1	J	J23
2194	D03_allLanes_P	E11_allLanes_P	B04_plate09	019W	M-1-15	YV93_2	23	YS24_1	J	J23
2199	D03_allLanes_P	A06_allLanes_P	A06_plate04	005W	M-2-15	YN49_2	22	YS24_1	J	J22
2214	D03_allLanes_P	A06_allLanes_P	A04_plate09	019V	M-1-15	YN49_2	22	YS24_1	J	J22
2249	D03_allLanes_P	C04_allLanes_P	A05_plate07	020L	M-1-18	OG35_2	21	YS24_1	J	J21
2264	D03_allLanes_P	G04_allLanes_P	A05_plate33	102X	M-1-18	YF88_2	25	YS24_1	J	J25
2274	D03_allLanes_P	B07_allLanes_P	A06_plate27	103P	M-2-15	OD53_2	24	YS24_1	J	J24
2279	D03_allLanes_P	B07_allLanes_P	A04_plate16	051L	M-1-15	OD53_2	24	YS24_1	J	J24
2284	D03_allLanes_P	B07_allLanes_P	A05_plate11	036J	M-1-18	OD53_2	24	YS24_1	J	J24
2294	D03_allLanes_P	E11_allLanes_P	A05_plate30	102F	M-1-18	YV93_2	23	YS24_1	J	J23
2324	D03_allLanes_P	E11_allLanes_P	A05_plate27	086N	M-1-18	YV93_2	23	YS24_1	J	J23
2349	D06_allLanes_P	C03_allLanes_P	B03_plate21	083F	L-2-15	YJ69_2	48	OC52_1	S	S48
2354	D06_allLanes_P	B05_allLanes_P	B01_plate16	065A	L-1-15	YG88_2	47	OC52_1	S	S47
2359	D06_allLanes_P	B05_allLanes_P	B01_plate02	001N	L-1-15	YG88_2	47	OC52_1	S	S47
2364	D06_allLanes_P	B05_allLanes_P	B02_plate27	098I	L-1-18	YG88_2	47	OC52_1	S	S47
2369	D06_allLanes_P	D09_allLanes_P	B02_plate04	016H	L-1-18	YO65_2	4	OC52_1	S	S4
2374	D06_allLanes_P	B05_allLanes_P	A02_plate27	098H	L-1-18	YG88_2	47	OC52_1	S	S47
2379	D06_allLanes_P	E09_allLanes_P	A02_plate33	114R	L-1-18	YO66_2	49	OC52_1	S	S49
2384	D06_allLanes_P	D09_allLanes_P	B02_plate28	098O	L-1-18	YO65_2	4	OC52_1	S	S4
2389	D06_allLanes_P	B05_allLanes_P	A03_plate15	049V	L-2-15	YG88_2	47	OC52_1	S	S47
2399	D06_allLanes_P	D09_allLanes_P	B01_plate07	015Y	L-1-15	YO65_2	4	OC52_1	S	S4
2409	D06_allLanes_P	E09_allLanes_P	B03_plate04	017I	L-2-15	YO66_2	49	OC52_1	S	S49
2414	D06_allLanes_P	D09_allLanes_P	B01_plate05	015M	L-1-15	YO65_2	4	OC52_1	S	S4
2424	D06_allLanes_P	G07_allLanes_P	B03_plate14	049Q	L-2-15	OG58_2	46	OC52_1	S	S46
2429	D06_allLanes_P	B05_allLanes_P	A03_plate07	017Z	L-2-15	YG88_2	47	OC52_1	S	S47
2434	D06_allLanes_P	E09_allLanes_P	B01_plate12	047C	L-1-15	YO66_2	49	OC52_1	S	S49
2444	D06_allLanes_P	C03_allLanes_P	A01_plate27	097M	L-1-15	YJ69_2	48	OC52_1	S	S48
2449	D06_allLanes_P	B05_allLanes_P	B03_plate29	115C	L-2-15	YG88_2	47	OC52_1	S	S47
2454	D06_allLanes_P	B05_allLanes_P	B03_plate32	115U	L-2-15	YG88_2	47	OC52_1	S	S47
2474	D06_allLanes_P	B05_allLanes_P	B01_plate18	065L	L-1-15	YG88_2	47	OC52_1	S	S47
2484	D06_allLanes_P	C03_allLanes_P	B03_plate24	083X	L-2-15	YJ69_2	48	OC52_1	S	S48
